Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
  18.90     529.21    1.480e-03    2.532e-05     54.42     0.07
  18.98     526.85    1.542e-03    3.400e-05     54.39     0.09
  19.07     524.51    1.611e-03    3.545e-05     54.37     0.09
  19.15     522.19    1.678e-03    2.592e-05     54.34     0.06
  19.23     519.90    1.741e-03    1.973e-05     54.30     0.04
  19.32     517.62    1.824e-03    2.097e-05     54.30     0.05
  19.40     515.36    1.892e-03    2.971e-05     54.26     0.06
  19.49     513.12    1.940e-03    2.582e-05     54.17     0.05
  19.57     510.90    2.062e-03    3.502e-05     54.23     0.07
  19.66     508.70    2.154e-03    4.534e-05     54.22     0.08
  19.74     506.52    2.224e-03    2.773e-05     54.17     0.05
  19.83     504.35    2.295e-03    2.051e-05     54.12     0.04
  19.91     502.21    2.393e-03    3.841e-05     54.11     0.07
  20.00     500.08    2.499e-03    3.787e-05     54.11     0.06
  20.08     497.97    2.587e-03    3.165e-05     54.07     0.05
  20.17     495.88    2.675e-03    2.670e-05     54.03     0.04
  20.25     493.81    2.778e-03    3.914e-05     54.01     0.06
  20.34     491.75    2.866e-03    3.568e-05     53.97     0.05
  20.42     489.71    2.971e-03    4.149e-05     53.94     0.06
  20.50     487.69    3.069e-03    3.994e-05     53.90     0.05
  20.59     485.68    3.221e-03    4.450e-05     53.93     0.06
  20.76     481.72    3.485e-03    5.927e-05     53.92     0.07
  20.93     477.83    3.649e-03    5.294e-05     53.78     0.06
  21.10     473.99    3.914e-03    7.297e-05     53.75     0.08
  21.27     470.21    4.268e-03    4.483e-05     53.79     0.04
  21.44     466.50    4.873e-03    5.594e-05     54.03     0.05
 
 Short-High Spectrum
 order  wl        wn         rad        sigma(rad)     Tb      sigma(Tb)    
   11  17.75     563.30    7.980e-04    2.423e-05     54.77     0.11
   11  17.77     562.86    7.979e-04    1.875e-05     54.74     0.09
   11  17.79     562.00    8.253e-04    2.151e-05     54.80     0.10
   11  17.81     561.57    8.346e-04    2.323e-05     54.81     0.10
   11  17.82     561.14    8.390e-04    2.180e-05     54.79     0.10
   11  17.83     560.71    8.485e-04    1.396e-05     54.80     0.06
   11  17.85     560.27    8.581e-04    2.025e-05     54.81     0.09
   11  17.86     559.84    8.494e-04    2.331e-05     54.74     0.10
   11  17.88     559.41    8.565e-04    2.136e-05     54.73     0.09
   11  17.89     558.98    8.693e-04    2.384e-05     54.76     0.10
   11  17.93     557.69    8.784e-04    2.076e-05     54.69     0.09
   11  17.94     557.27    8.807e-04    1.772e-05     54.67     0.08
   11  17.96     556.83    8.902e-04    1.796e-05     54.68     0.08
   11  17.97     556.41    9.044e-04    9.899e-06     54.70     0.04
   11  17.99     555.98    9.151e-04    1.202e-05     54.71     0.05
   11  18.00     555.55    9.113e-04    2.100e-05     54.66     0.09
   11  18.01     555.12    9.090e-04    2.452e-05     54.62     0.10
   11  18.03     554.70    9.159e-04    2.322e-05     54.62     0.09
   11  18.07     553.42    9.426e-04    2.265e-05     54.62     0.09
   11  18.08     552.99    9.520e-04    2.126e-05     54.63     0.08
   11  18.10     552.57    9.585e-04    2.241e-05     54.62     0.09
   11  18.11     552.15    9.587e-04    2.387e-05     54.59     0.09
   11  18.13     551.72    9.692e-04    1.787e-05     54.60     0.07
   11  18.14     551.29    9.773e-04    1.890e-05     54.59     0.07
   11  18.15     550.87    9.899e-04    2.167e-05     54.61     0.08
   11  18.17     550.45    1.002e-03    2.200e-05     54.62     0.08
   11  18.21     549.18    1.010e-03    2.419e-05     54.55     0.09
   11  18.22     548.76    9.977e-04    2.110e-05     54.47     0.08
   11  18.24     548.33    1.012e-03    2.370e-05     54.49     0.09
   11  18.25     547.91    1.045e-03    2.795e-05     54.58     0.10
   11  18.27     547.49    1.044e-03    2.787e-05     54.54     0.10
